,r,opt_revenue_list,exp_revenue_list
0,1.000099999999642,36.85095735981917,[31.6683625]
1,1.0982961923847692,32829.20265547952,[28382.49363981]
2,1.1964923847695397,59959.8746216847,[51986.68709674]
3,1.2946885771543084,82615.9868116056,[71758.52305237]
4,1.3928847695390785,101874.42063687455,[88582.91317349]
5,1.4910809619238476,117945.63345161953,[103009.8872573]
6,1.5892771543086177,131286.48742400418,[114939.09215315]
7,1.687473346693387,143677.43692921835,[125740.694572]
8,1.7856695390781563,153134.0753476407,[134541.81475739]
9,1.883865731462926,162382.62198927146,[142450.81744209]
10,1.9820619238476955,169861.7654959864,[149451.57043805]
11,2.080258116232466,176828.23060987642,[155478.19762448]
12,2.1784543086172343,182959.57902115348,[160857.17479404]
13,2.2766505010020035,187981.26948772825,[165659.65362846]
14,2.3748466933867745,192754.3715336539,[169995.4118986]
15,2.473042885771543,197261.56646755064,[173610.52585016]
16,2.5712390781563124,200821.19871697208,[177037.02488571]
17,2.6694352705410815,203893.2326249415,[179907.59098916]
18,2.767631462925852,207410.5335540637,[183157.86418439]
19,2.865827655310622,209617.58046299402,[185424.66622489]
20,2.9640238476953913,212462.5285025327,[187914.46850533]
21,3.0622200400801605,214738.56446873167,[189699.74958323]
22,3.16041623246493,216724.04006843845,[191556.36713118]
23,3.2586124248496997,218695.35866303078,[193514.67405957]
24,3.356808617234467,220673.85564633113,[195172.21450642]
25,3.45500480961924,221390.52582563742,[196272.34737608]
26,3.5532010020040072,224353.36048084972,[198303.54411279]
27,3.6513971943887773,224553.97605241335,[198922.71517471]
28,3.7495933867735496,225941.0736067887,[200215.47881803]
29,3.8477895791583157,227503.5674241338,[201301.97567373]
30,3.9459857715430884,228098.07804898903,[202439.53698142]
31,4.044181963927853,229076.42069004365,[203070.07815354]
32,4.142378156312628,229939.85832844395,[204097.0958946]
33,4.240574348697393,231691.98411434807,[205054.40545704]
34,4.338770541082163,231726.70617711454,[205496.81249147]
35,4.436966733466937,233199.13009502998,[206518.08615637]
36,4.535162925851708,233183.4927582308,[206671.9320128]
37,4.633359118236471,234488.34124472577,[207693.91727212]
38,4.731555310621242,235231.05907376684,[208363.03694189]
39,4.829751503006013,234594.13930113494,[208470.54358754]
40,4.927947695390785,235461.41211528695,[209309.12034986]
41,5.026143887775549,236454.35371941715,[210076.6594193]
42,5.124340080160326,236573.10965565423,[210033.88706086]
43,5.222536272545091,237608.63120083802,[210585.05371971]
44,5.320732464929858,237417.28462655007,[210972.36262393]
45,5.41892865731462,238106.14563652597,[211482.97595137]
46,5.517124849699392,239203.05633387613,[211882.8937183]
47,5.615321042084176,240021.3064512947,[212385.25448638]
48,5.713517234468939,239375.83057693293,[212678.0233002]
49,5.811713426853697,239915.31141353535,[213013.62599246]
50,5.909909619238467,240533.53746677606,[213419.83811241]
51,6.008105811623243,240746.2249462897,[213511.9949736]
52,6.106302004008027,240409.52321017673,[213457.10427569]
53,6.204498196392784,241463.50325801078,[213913.77836102]
54,6.302694388777543,240800.24181536795,[213950.68989867]
55,6.4008905811623364,242131.75015867257,[214566.6025467]
56,6.4990867735471,241866.75142114965,[214461.56311849]
57,6.59728296593185,241749.98878381483,[214861.87021356]
58,6.695479158316646,242684.93959017473,[215271.10379268]
59,6.793675350701397,243319.68030252063,[215729.35178729]
60,6.8918715430861734,242669.14456298325,[215433.3238447]
61,6.990067735470955,242908.4309498466,[215712.48511998]
62,7.088263927855714,243115.96440286862,[215870.40578189]
63,7.18646012024049,243001.76115953925,[215907.24522404]
64,7.284656312625241,243357.01853274961,[216296.13509666]
65,7.382852505010033,243692.12268354173,[216664.64578014]
66,7.481048697394792,243588.762179132,[216413.09455763]
67,7.579244889779571,243423.8241167008,[216149.53760199]
68,7.677441082164309,244664.0249016311,[217069.71445232]
69,7.77563727454911,243908.93864844297,[216814.80999559]
70,7.873833466933864,244134.23832723423,[217017.63886663]
71,7.97202965931862,244985.14966406685,[217308.19914639]
72,8.070225851703412,245253.20026211758,[217781.2189257]
73,8.168422044088151,244938.35625639965,[217684.31707405]
74,8.266618236472933,245066.19983710296,[217190.75004836]
75,8.364814428857713,245055.85452796568,[217578.28676795]
