,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_pareto0_list
0,2,1.904761904761905,0.4507457188820764,0.29406055619256916,0.4856380952383018,0.5611500770617008,4.225801432980946,6.477447806752254
1,3,2.8571428571428577,0.7568461770241165,0.4858758041908542,0.7244857142860213,0.9223538979944745,3.7750641330805275,5.880397485322318
2,4,3.80952380952381,1.0789575185514095,0.683914053351206,0.9712380952385083,1.3258290554962582,3.5307449496606815,5.570179163386089
3,5,4.761904761904763,1.4208901844085353,0.9106049759873787,1.2020476190481268,1.7470112128934172,3.351353126481741,5.229385834116905
4,6,5.714285714285715,1.7685038993223219,1.1349920454896083,1.4586285714291924,2.1901215652973343,3.231141145052261,5.034648248852449
5,7,6.666666666666668,2.1256998195481303,1.394669360766275,1.6994666666673897,2.6568681301974175,3.1362220598409007,4.780105488948142
6,8,7.61904761904762,2.481939179729809,1.6285824091492058,1.9418666666674926,3.1323009911250357,3.069796263048256,4.678331029639401
7,9,8.571428571428573,2.8467983717226377,1.8857629572073213,2.1918857142866486,3.6352554103243766,3.0109011781687514,4.545337227390573
8,10,9.523809523809526,3.216580866984775,2.1575966795772743,2.429428571429605,4.1423561531388815,2.9608487762775106,4.414082397306744
9,11,10.476190476190478,3.5890238902369043,2.448463707125877,2.6759333333344735,4.634286600435721,2.9189525610817166,4.278679094038085
10,12,11.42857142857143,3.963393967363944,2.735682921862069,2.8989714285726573,5.177982140918932,2.8835315193691384,4.177593586318279
11,13,12.380952380952383,4.33984274698578,3.0313607754297016,3.161352380953727,5.713996893717495,2.852857373588369,4.084288640700432
12,14,13.333333333333336,4.721938723835064,3.3416324655773746,3.3824000000014336,6.263659729543548,2.8236989323961983,3.990065774941402
13,15,14.285714285714288,5.096698907169935,3.6348915852219497,3.6091428571443824,6.798575312812506,2.8029347124307127,3.9301624135901125
14,16,15.23809523809524,5.482838301250399,3.9434864560028617,3.8224761904777975,7.356597665537102,2.779234841673169,3.8641175538715182
15,17,16.190476190476193,5.867361732041915,4.31876433058909,4.104771428573168,7.909485117411648,2.759413332581713,3.7488677202878935
16,18,17.142857142857146,6.256917769736283,4.601672171254127,4.34657142857327,8.498932501854988,2.7398245867597018,3.7253538507035975
