,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_uniform_list
0,2,10,[5.12031593],5.223967536,5.0778,[5.77812368],1.95300449,1.914253856
1,2002,10010,[9429.93311238],9412.488317,5081.70663,[9699.25886729],1.06151336,1.063480736
2,4002,20010,[19083.66994785],19060.06364,10133.6643,[19551.29858159],1.04854046,1.049839097
3,6002,30010,[28792.5763001],28792.62532,15208.7679,[29436.33862025],1.04228256,1.042280781
4,8002,40010,[38532.42793595],38512.11113,20356.24779,[39331.28744588],1.0383462,1.038893969
5,10002,50010,[48293.13071153],48299.82493,25354.01979,[49255.10334465],1.035551,1.03540748
6,12002,60010,[58069.24836957],58068.19743,30374.6616,[59171.03836727],1.03342133,1.033440035
7,14002,70010,[67857.42868614],67838.51696,35377.66323,[69097.19332947],1.03172197,1.032009589
8,16002,80010,[77655.42018222],77642.65137,40435.21377,[79016.28725599],1.03032087,1.030490312
9,18002,90010,[87461.61836623],87475.37597,45637.23024,[88972.07694587],1.02913714,1.028975286
10,20002,100010,[97274.82878045],97304.63103,50687.66826,[98892.84282183],1.02811798,1.027803085
11,22002,110010,[107094.1318531],107060.0649,56149.98408,[108860.91300522],1.02722715,1.02755402
12,24002,120010,[116918.80051679],116916.2227,60746.42178,[118787.07485394],1.02643886,1.026461489
13,26002,130010,[126748.24731002],126737.7907,65935.74159,[128746.94474871],1.0257341,1.025818734
14,28002,140010,[136581.98895216],136566.0342,71100.57825,[138696.45345638],1.02509856,1.025218319
15,30002,150010,[146419.62178982],146392.8352,75980.36502,[148649.72795174],1.02452115,1.024708619
16,32002,160010,[156260.80427222],156223.0128,81052.58547,[158582.84564541],1.02399319,1.024240905
17,34002,170010,[166105.2441373],165993.0669,85986.46773,[168541.81549145],1.02350772,1.024199403
18,36002,180010,[175952.68883171],176048.7223,91287.21123,[178481.02378607],1.0230591,1.022501031
19,38002,190010,[185802.91822398],185765.2541,96081.40665,[188430.44663562],1.02264271,1.022850053
20,40002,200010,[195655.73896241],195813.8866,101663.6829,[198379.59970804],1.02225471,1.02142909
21,42002,210010,[205510.98005145],205580.0061,106141.7841,[208332.29227277],1.02189187,1.021548759
22,44002,220010,[215368.48932991],215441.7457,111516.6887,[218304.05432955],1.02155148,1.021204128
23,46002,230010,[225228.13063674],225265.4331,116481.8942,[228245.84805794],1.02123123,1.021062117
24,48002,240010,[235089.78151426],235048.6251,121297.6939,[238232.09448084],1.0209291,1.021107866
25,50002,250010,[244953.33131509],244958.0597,126583.3131,[248185.08107681],1.0206434,1.020623695
26,52002,260010,[254818.67963918],254896.0934,131522.4184,[258154.54576232],1.02037261,1.020062711
27,54002,270010,[264685.73503136],264784.301,136894.26,[268107.37334923],1.02011542,1.019735683
28,56002,280010,[274554.41388053],274600.5381,141198.1226,[278066.48842225],1.01987069,1.019699386
29,58002,290010,[284424.63949583],284536.3243,147018.5394,[288052.63833907],1.0196374,1.019237177
30,60002,300010,[294296.34131234],294412.5686,151283.3426,[297973.07581886],1.01941464,1.019012202
31,62002,310010,[304169.45421708],304323.2015,157188.0904,[307981.13377533],1.01920162,1.018686707
32,64002,320010,[314043.91796901],314126.6508,161506.8069,[317926.41468041],1.0189976,1.018729227
33,66002,330010,[323919.67668909],324093.3217,166197.3261,[327861.67416487],1.01880196,1.018256095
34,68002,340010,[333796.67842194],333865.3528,171472.1432,[337829.93975142],1.01861409,1.018404567
35,70002,350010,[343674.87476272],343736.3321,178134.4394,[347788.94834344],1.01843348,1.018251396
36,72002,360010,[353554.22050568],353552.5883,182472.1485,[357759.2645656],1.01825966,1.01826436
37,74002,370010,[363434.67336697],363518.9569,187307.5722,[367712.34020739],1.01809218,1.017856134
38,76002,380010,[373316.19370749],373577.3712,191716.565,[377710.90288658],1.01793066,1.017219
39,78002,390010,[383198.74431105],383381.5941,197038.9022,[387669.33000115],1.01777473,1.017289317
40,80002,400010,[393082.29017369],393179.5584,202717.4678,[397628.07805052],1.01762407,1.017372321
41,82002,410010,[402966.79832475],403029.4614,207541.7319,[407599.36853925],1.01747837,1.017320169
42,84002,420010,[412852.23766025],412966.4617,211930.7458,[417579.91110329],1.01733735,1.017055957
43,86002,430010,[422738.57879171],422593.3891,219279.2994,[427548.9108734],1.01720075,1.017550229
44,88002,440010,[432625.79392182],432560.4432,222093.7275,[437509.83847977],1.01706834,1.017222002
45,90002,450010,[442513.85671461],442612.9575,228125.3693,[447462.08761434],1.01693991,1.016712214
46,92002,460010,[452402.74219785],452527.0863,232188.6675,[457414.20349598],1.01681523,1.016535836
47,94002,470010,[462292.42665846],462452.1425,237286.8985,[467418.587131],1.01669414,1.016343005
48,96002,480010,[472182.88755088],472313.4487,242361.3691,[477380.07828831],1.01657644,1.016295431
49,98002,490010,[482074.10342678],481963.1398,247670.6544,[487340.2505061],1.01646198,1.016696007
